X_id,Year,BranchCode,Sessions
536,2023,HIL,4594
537,2023,HP,13600
538,2023,HS,4939
539,2023,HW,4553
540,2023,JD,18421
541,2023,JO,5629
542,2023,JS,13319
543,2023,KE,22699
544,2023,LB,7542
545,2023,LE,7737
546,2023,LO,14065
547,2023,LS,59821
548,2023,MA,10231
549,2023,MAL,31461
550,2023,MAS,25669
551,2023,MCG,11187
552,2023,MD,14806
553,2023,MI,5207
554,2023,MP,866
555,2023,MRV,23349
556,2023,MS,14117
557,2023,ND,47028
558,2023,NE,6765
559,2023,NT,7626
560,2023,OV,5637
561,2023,PA,23826
562,2023,PE,2114
563,2023,PK,47447
564,2023,PL,37018
565,2023,PM,7682
566,2023,PU,3681
567,2023,PV,5921
568,2023,QS,5466
569,2023,RD,18514
570,2023,RI,29750
571,2023,RN,28687
572,2023,RX,4824
573,2023,SA,28449
574,2023,SC,29005
575,2023,SI,3748
576,2023,SJ,25429
577,2023,SL,14694
578,2023,SP,6431
579,2023,ST,14413
580,2023,SW,1276
581,2023,SWS,21180
582,2023,TA,3002
583,2023,TH,25554
584,2023,TOD,2256
585,2023,TRL,151131
586,2023,VV,3735
587,2023,WE,17842
588,2023,WP,5342
589,2023,WS,26517
590,2023,WY,14734
591,2023,YO,10946
592,2023,YW,19605
